strbhi;Acesso à memória
smlabbls;Coprocessadores
stmdb;Acesso à memória múltiplo
subsge;ULA
strbtcc;Acesso à memória
smladxle;Coprocessadores
bcc;Desvios
nop;Nop
sfmls;Coprocessadores
andsmi;ULA
eors;ULA
stclge;Coprocessadores
blls;Desvios
bicscc;ULA
strbthi;Acesso à memória
cmpvs;ULA
blgt;Desvios
mrslt;Coprocessadores
stclhi;Coprocessadores
eorle;ULA
strbeq;Acesso à memória
movwlt;ULA
stm;Acesso à memória múltiplo
ldrthi;Acesso à memória
strb;Acesso à memória
andscc;ULA
rsfeqs;ULA com PF
movcs;ULA
andls;ULA
dvfeqe;ULA com PF
smladcs;Coprocessadores
ldmdami;Acesso à memória múltiplo
ldrbgt;Acesso à memória
biceq;ULA
strdeq;Acesso à memória
vrhadd.u8;Operações com vetores
cfldrdvs;Coprocessadores
ldcls;Coprocessadores
strblt;Acesso à memória
stmdbmi;Acesso à memória múltiplo
svcpl;Modo supervisor
svcne;Modo supervisor
blcs;Desvios
stcle;Coprocessadores
subs;ULA
orrle;ULA
cmn;ULA
mrscs;Coprocessadores
ldrtvs;Acesso à memória
ldrb;Acesso à memória
vmlacs.f16;Operações com vetores
ldrle;Acesso à memória
addsle;ULA
ldreq;Acesso à memória
svcmi;Modo supervisor
addspl;ULA
svcvs;Modo supervisor
stccs;Coprocessadores
stclgt;Coprocessadores
ldmeq;Acesso à memória múltiplo
umlaleq;ULA
ldmpl;Acesso à memória múltiplo
adcsmi;ULA
smlatteq;Coprocessadores
addhi;ULA
rorseq;Rotações
mrrceq;Coprocessadores
blmi;Desvios
cfmulseq;Coprocessadores
strcs;Acesso à memória
strbvs;Acesso à memória
lfmvs;Acesso a memória com PF
mrsvc;Coprocessadores
movcc;ULA
rsbsge;ULA
rpweqs;ULA com PF
sfmmi;Coprocessadores
vmax.u8;Operações com vetores
pusheq;Pilha
ldmdacs;Acesso à memória múltiplo
orrne;ULA
cfstrsge;Coprocessadores
ldmdbhi;Acesso à memória múltiplo
teq;ULA
movwcc;ULA
rsbsvs;ULA
smlabbne;Coprocessadores
mrshi;Coprocessadores
andvc;ULA
cmp;ULA
ldmdbpl;Acesso à memória múltiplo
rsfcssp;ULA com PF
ldrbtvs;Acesso à memória
sbcsne;Acesso à memória
blx;Desvios
ldcmi;Coprocessadores
stmibgt;Acesso à memória múltiplo
andcc;ULA
stmdals;Acesso à memória múltiplo
adfnes;ULA com PF
mareq;ULA
andmi;ULA
cdp;Coprocessadores
vstrpl.16;Operações com vetores
vldmiagt;Operações com vetores
mov;ULA
tstle;ULA
cfmul64cs;Coprocessadores
cdpge;Coprocessadores
stfcss;Acesso a memória com PF
cfsh32mi;Coprocessadores
stclcs;Coprocessadores
ldceq;Coprocessadores
eorgt;ULA
mrclt;Coprocessadores
ldclvc;Coprocessadores
orr;ULA
and;ULA
cfstrdeq;Coprocessadores
ldmne;Acesso à memória múltiplo
ldrbvs;Acesso à memória
eorls;ULA
movseq;ULA
teqvs;ULA
mrsvs;Coprocessadores
stcgt;Coprocessadores
mrs;Coprocessadores
strtcs;Acesso à memória
cmpvc;ULA
ldfvss;Acesso a memória com PF
cmneq;ULA
mrsgt;Coprocessadores
tstpl;ULA
strbne;Acesso à memória
vmlacc.f64;Operações com vetores
bicne;ULA
addseq;ULA
ldrbge;Acesso à memória
adfcss;ULA com PF
vldrmi.16;Operações com vetores
addsvs;ULA
ldmge;Acesso à memória múltiplo
movwmi;ULA
stfnee;Acesso a memória com PF
ldchi;Coprocessadores
andsls;ULA
ldmdacc;Acesso à memória múltiplo
cfstrsmi;Coprocessadores
mrseq;Coprocessadores
lgneqe;ULA
ldmdbcc;Acesso à memória múltiplo
stfgts;Acesso a memória com PF
stfges;Acesso a memória com PF
andsvs;ULA
ldcgt;Coprocessadores
strbvc;Acesso à memória
tstcc;ULA
smladxne;Coprocessadores
svcls;Modo supervisor
lslcc;Acesso a memória com PF
andcs;ULA
stceq;Coprocessadores
ldrsbteq;Acesso à memória
pop;Pilha
tstls;ULA
vaddcs.f32;Operações com vetores
ldrbteq;Acesso à memória
stmdbge;Acesso à memória múltiplo
cfstr32eq;Coprocessadores
stmdavs;Acesso à memória múltiplo
stmibcs;Acesso à memória múltiplo
subsls;ULA
movwpl;ULA
strne;Acesso à memória
rsbmi;ULA
ldrteq;Acesso à memória
smladne;Coprocessadores
vstrcc;Operações com vetores
ldrne;Acesso à memória
ldmiblt;Acesso à memória múltiplo
stmdbgt;Acesso à memória múltiplo
movwls;ULA
lsrcs;Rotações
cdpcs;Coprocessadores
lsls;Acesso a memória com PF
stclt;Coprocessadores
adcsne;ULA
movhi;ULA
bvc;Desvios
cmpeq;ULA
lfmmi;Acesso a memória com PF
smladeq;Coprocessadores
ldmdagt;Acesso à memória múltiplo
cfmac32cs;Coprocessadores
vldmials;Operações com vetores
mrceq;Coprocessadores
sfmeq;Coprocessadores
cmnvc;ULA
smlabblt;Coprocessadores
pushhi;Pilha
cfldr32eq;Coprocessadores
movtne;ULA
ldmhi;Acesso à memória múltiplo
eor;ULA
ldfvse;Acesso a memória com PF
tst;ULA
subsgt;ULA
bicshi;ULA
movwhi;ULA
vnmulcs.f16;Operações com vetores
vnmlseq.f64;Operações com vetores
mcrne;Coprocessadores
cfmsub32eq;Coprocessadores
andgt;ULA
eorscc;ULA
ldrtmi;Acesso à memória
cmpls;ULA
ands;ULA
mrcpl;Coprocessadores
eorsne;ULA
ldclne;Coprocessadores
strls;Acesso à memória
cfldr32cs;Coprocessadores
ldrbne;Acesso à memória
blge;Desvios
mrrc2;Coprocessadores
eorne;ULA
strle;Acesso à memória
stfeqe;Acesso a memória com PF
ldfges;Acesso a memória com PF
stmdbhi;Acesso à memória múltiplo
blhi;Desvios
mrrccc;Coprocessadores
vshl.u8;Operações com vetores
blt;Desvios
eorvs;ULA
sfmne;Coprocessadores
mvneq;ULA
rsfnee;ULA com PF
bcs;Desvios
strvc;Acesso à memória
strtne;Acesso à memória
ldmibne;Acesso à memória múltiplo
adcne;ULA
stcmi;Coprocessadores
subslt;ULA
vmax.s8;Operações com vetores
cmpne;ULA
cmnvs;ULA
teqne;ULA
andne;ULA
beq;Desvios
stmdahi;Acesso à memória múltiplo
sfm;Coprocessadores
ldrbtmi;Acesso à memória
ldrbhi;Acesso à memória
vmulcs.f32;Operações com vetores
rsbs;ULA
stmiagt;Acesso à memória múltiplo
cfmadd32hi;Coprocessadores
cdpvc;Coprocessadores
cdpgt;Coprocessadores
muleq;ULA
cfldrscs;Coprocessadores
cfstrdvs;Coprocessadores
lslne;Acesso a memória com PF
teqcc;ULA
ldrbeq;Acesso à memória
strhlt;Acesso à memória
cdpls;Coprocessadores
ldmdbge;Acesso à memória múltiplo
ldrbpl;Acesso à memória
stcpl;Coprocessadores
smlsdxpl;Coprocessadores
lsrsne;Rotações
cfmadd32vc;Coprocessadores
ldrhi;Acesso à memória
lfmcs;Acesso a memória com PF
qaddcs;ULA
sub;ULA
stclvc;Coprocessadores
strhteq;Acesso à memória
ldrmi;Acesso à memória
rsbne;ULA
subcs;ULA
subsne;ULA
orrs;ULA
vqsub.s8;Operações com vetores
lsrne;Rotações
stclmi;Coprocessadores
vcge.f32;Operações com vetores
ldrheq;Acesso à memória
ldrbtvc;Acesso à memória
ldmdane;Acesso à memória múltiplo
ldrbls;Acesso à memória
stccc;Coprocessadores
mvnne;ULA
stmdalt;Acesso à memória múltiplo
cmnne;ULA
vnmlavc.f32;Operações com vetores
eorseq;ULA
movwcs;ULA
cmpcc;ULA
tstvc;ULA
movwge;ULA
teqvc;ULA
bne;Desvios
movwne;ULA
andsne;ULA
bicseq;ULA
ldrtpl;Acesso à memória
svchi;Modo supervisor
uqsaxvs;ULA
strhi;Acesso à memória
ldcpl;Coprocessadores
rsbeq;ULA
cfstr64vs;Coprocessadores
dvfcse;ULA com PF
vstrpl;Operações com vetores
lfmls;Acesso a memória com PF
lsr;Rotações
stmdbcs;Acesso à memória múltiplo
vstrne;Operações com vetores
smlabbcc;Coprocessadores
mrrcvs;Coprocessadores
andeq;ULA
mvnshi;ULA
andpl;ULA
cdppl;Coprocessadores
vst4.8;Operações com vetores
adfpls;ULA com PF
teqcs;ULA
eorvc;ULA
subshi;ULA
cfstrspl;Coprocessadores
ldrcs;Acesso à memória
orrcc;ULA
ldmdapl;Acesso à memória múltiplo
mrcvs;Coprocessadores
ldrtlt;Acesso à memória
stmiami;Acesso à memória múltiplo
lslls;Acesso a memória com PF
bx;Desvios
mrsle;Coprocessadores
cfstr32lt;Coprocessadores
vldmiaeq;Operações com vetores
lsrs;Rotações
bls;Desvios
ldmdbne;Acesso à memória múltiplo
ldrh;Acesso à memória
svccs;Modo supervisor
eoreq;ULA
movwgt;ULA
orrsle;ULA
strbtvc;Acesso à memória
vnmulvs.f16;Operações com vetores
rsbshi;ULA
bhi;Desvios
blcc;Desvios
addge;ULA
tstlt;ULA
svcge;Modo supervisor
stmiaeq;Acesso à memória múltiplo
stmdage;Acesso à memória múltiplo
ldflts;Acesso a memória com PF
mvn;ULA
andsle;ULA
subsvs;ULA
andlt;ULA
ldclcc;Coprocessadores
ldrcc;Acesso à memória
ldcleq;Coprocessadores
mcrvs;Coprocessadores
stmdbvs;Acesso à memória múltiplo
ldrsh;Acesso à memória
bxeq;Desvios
addscs;ULA
strbtne;Acesso à memória
vcgt.u8;Operações com vetores
orreq;ULA
movsge;ULA
stcge;Coprocessadores
mvncs;ULA
stmdacs;Acesso à memória múltiplo
ldrvs;Acesso à memória
cfldrdeq;Coprocessadores
blvc;Desvios
cfsh64vs;Coprocessadores
mraeq;ULA
ldfeqs;Acesso a memória com PF
cmpge;ULA
andge;ULA
stc;Coprocessadores
mcreq;Coprocessadores
ldrls;Acesso à memória
lsrls;Rotações
bleq;Desvios
stmdane;Acesso à memória múltiplo
strthi;Acesso à memória
ldclt;Coprocessadores
ldrbthi;Acesso à memória
cdpmi;Coprocessadores
ldmdavs;Acesso à memória múltiplo
adfvce;ULA com PF
strbls;Acesso à memória
movlt;ULA
cfldr64eq;Coprocessadores
mrrcge;Coprocessadores
addcs;ULA
stflss;Acesso a memória com PF
moveq;ULA
andle;ULA
tstge;ULA
mcrmi;Coprocessadores
eorhi;ULA
cfstr32ne;Coprocessadores
mvncc;ULA
vstmiaeq;Operações com vetores
mrrcmi;Coprocessadores
mvnseq;ULA
rsbsvc;ULA
mrccs;Coprocessadores
subsle;ULA
cfmadd32gt;Coprocessadores
cfstr32mi;Coprocessadores
vmlaeq.f32;Operações com vetores
ldmdblt;Acesso à memória múltiplo
lsrhi;Rotações
stchi;Coprocessadores
cfstr64eq;Coprocessadores
orrshi;ULA
cdphi;Coprocessadores
bicsne;ULA
addls;ULA
ldmdbvc;Acesso à memória múltiplo
eormi;ULA
lfm;Acesso a memória com PF
orrspl;ULA
eorcc;ULA
blle;Desvios
stmiane;Acesso à memória múltiplo
strteq;Acesso à memória
stmdaeq;Acesso à memória múltiplo
subspl;ULA
mrspl;Coprocessadores
vmls.i8;Operações com vetores
ldmdbgt;Acesso à memória múltiplo
lfmle;Acesso a memória com PF
stfned;Acesso a memória com PF
cmplt;ULA
ldrtcc;Acesso à memória
strpl;Acesso à memória
mrscc;Coprocessadores
stmdbls;Acesso à memória múltiplo
ldcle;Coprocessadores
cfmvsrcs;Coprocessadores
addeq;ULA
vmlahi.f64;Operações com vetores
vmoveq.32;Operações com vetores
cfldr64vs;Coprocessadores
cmnpl;ULA
